id,name,phone,city,latitude,longitude,category,years_experience,hourly_rate,rating,n_reviews,response_time_h,response_rate,completion_rate,no_show_rate,is_verified,is_available,subscription,global_score,created_at
166,Auguste Foucher,0748695946,Rabat,34.02517,-6.86862,Maçonnerie,14,184,3.9,80,1.6,0.89,0.84,0.06,1,1,free,0.751,2025-04-15
167,Zoé Bigot,0638658902,Tanger,35.81879,-5.85603,Menuiserie,24,279,4.5,30,10.0,0.5,0.73,0.02,0,1,free,0.932,2024-08-09
168,Franck Mallet de Gaillard,0627703843,Agadir,30.36764,-9.6889,Plomberie,20,97,4.0,102,4.6,0.76,0.91,0.09,0,1,basic,0.823,2026-04-06
169,Léon Benoit,0618489554,Casablanca,33.67594,-7.67913,Peinture,22,195,4.2,90,2.8,0.6,0.98,0.09,1,1,free,0.882,2024-09-22
170,Nath Regnier de la Bouchet,0797357790,Rabat,34.02159,-6.8762,Électricité,18,326,4.3,65,0.4,0.53,0.89,0.15,0,1,premium,0.872,2025-04-24
171,Henri Renard Le Brun,0718275539,Meknès,33.99197,-5.54373,Plomberie,8,217,4.0,67,0.6,0.87,0.98,0.03,0,1,free,0.75,2025-02-07
172,Stéphanie Carpentier,0790807595,Agadir,30.3644,-9.66237,Maçonnerie,5,332,4.4,91,6.9,0.94,0.87,0.04,1,1,premium,0.593,2025-11-10
173,Denise Baudry,0671875003,Agadir,30.40572,-9.54401,Menuiserie,16,274,1.7,108,2.6,0.66,0.88,0.04,1,1,elite,0.474,2025-09-30
174,Aurore Carpentier,0693143866,Tanger,35.73051,-5.83427,Maçonnerie,12,180,3.0,95,0.5,0.98,0.74,0.12,1,1,premium,0.572,2026-03-12
175,Gérard Gay,0771754558,Tanger,35.82119,-5.87724,Nettoyage,13,211,4.5,12,1.3,0.71,0.81,0.1,0,1,free,0.667,2026-04-01
176,Charlotte Guilbert,0772256996,Fès,34.13695,-5.04657,Carrelage,25,116,3.9,124,0.2,0.67,0.79,0.1,0,1,basic,0.786,2025-07-14
177,Véronique Blondel,0641326111,Agadir,30.51163,-9.53735,Carrelage,14,322,4.1,115,2.4,0.51,0.82,0.11,1,1,free,0.75,2024-11-11
178,Margaud Robin,0605577848,Rabat,34.05438,-6.75825,Peinture,15,307,2.3,72,0.4,0.97,0.86,0.09,1,1,basic,0.643,2026-01-03
179,Susanne Gérard,0742400825,Meknès,33.89857,-5.51713,Peinture,18,226,4.7,123,1.9,0.5,0.98,0.14,1,1,free,0.707,2025-08-19
180,Philippine Paris,0763416389,Agadir,30.44877,-9.53393,Nettoyage,18,219,2.8,105,1.0,0.87,0.94,0.06,0,1,free,0.718,2025-03-28
181,Nathalie-Aurélie Gomez,0621442703,Rabat,34.0505,-6.81614,Peinture,7,126,4.0,125,0.5,0.75,0.8,0.05,0,0,free,0.705,2025-09-22
182,Isaac Blanc Le Weiss,0760136730,Casablanca,33.5364,-7.51552,Menuiserie,3,181,1.7,100,1.9,0.89,0.86,0.15,1,1,basic,0.519,2025-04-20
183,Henriette Hubert,0631365024,Tanger,35.68569,-5.78465,Informatique,9,141,4.8,31,1.5,0.62,0.99,0.09,0,1,free,0.678,2024-11-10
184,Michèle-Françoise Roussel,0627358573,Tanger,35.81805,-5.88833,Jardinage,25,90,1.8,86,3.5,0.68,0.74,0.13,1,1,basic,0.635,2025-04-02
185,Maryse Laurent,0618274485,Oujda,34.61962,-1.97916,Carrelage,9,312,2.6,119,0.0,0.82,0.81,0.03,1,0,premium,0.689,2026-03-02
186,Martine Renault,0756511810,Marrakech,31.59073,-8.07551,Nettoyage,17,146,4.4,48,0.6,0.52,0.73,0.03,1,1,basic,0.78,2025-07-07
187,François Marques,0717058650,Oujda,34.69228,-1.86787,Peinture,20,216,1.7,56,2.3,0.87,0.95,0.01,1,1,basic,0.621,2024-09-16
188,Timothée Alves,0776122868,Marrakech,31.63635,-8.04824,Nettoyage,18,252,3.8,45,3.2,0.77,0.88,0.14,0,1,basic,0.693,2025-05-03
189,Nicole Mercier du Georges,0757760049,Tanger,35.74055,-5.80519,Informatique,19,88,2.6,61,2.2,1.0,0.79,0.05,1,0,basic,0.731,2024-06-27
190,Geneviève Lamy du Foucher,0793344196,Agadir,30.51842,-9.59566,Déménagement,4,191,4.7,39,4.0,0.86,0.94,0.03,0,1,free,0.642,2026-01-16
191,Louise Le Gilles,0761390604,Rabat,34.04149,-6.88476,Informatique,3,348,4.3,97,0.1,0.77,0.74,0.08,1,1,premium,0.692,2025-07-12
192,Stéphane Goncalves,0686416862,Oujda,34.74137,-1.89513,Électricité,13,149,2.3,74,2.0,0.6,0.82,0.09,1,0,free,0.659,2025-11-23
193,Robert Blanchet,0759042597,Marrakech,31.57378,-8.03164,Serrurerie,4,154,2.6,22,1.7,0.96,0.77,0.1,1,1,basic,0.506,2024-08-31
194,Bertrand-Benjamin Picard,0705383388,Rabat,34.0727,-6.89716,Déménagement,1,212,4.7,73,2.4,0.81,1.0,0.1,0,1,free,0.687,2026-04-15
195,Gabriel Girard,0751046368,Casablanca,33.52023,-7.68491,Maçonnerie,2,130,4.3,69,7.0,0.74,0.88,0.01,1,0,free,0.688,2025-12-31
196,Patricia Vallet du Camus,0738404608,Casablanca,33.47359,-7.4985,Peinture,24,223,2.7,100,0.8,0.67,0.82,0.02,0,1,free,0.621,2026-04-30
197,Victoire Lebon-Pierre,0624826292,Marrakech,31.61163,-7.96534,Serrurerie,15,242,4.9,84,0.2,0.77,0.92,0.03,0,1,basic,0.717,2024-07-05
198,Alexandre Voisin,0799939330,Tanger,35.84169,-5.85259,Serrurerie,5,263,2.6,70,0.2,0.89,0.74,0.13,1,1,premium,0.466,2024-12-10
199,Jean Mace,0633127975,Meknès,33.89165,-5.62568,Maçonnerie,25,314,2.3,104,6.6,0.71,0.93,0.09,0,1,elite,0.8,2025-07-13
200,Daniel Hubert,0780347644,Casablanca,33.57756,-7.60026,Plomberie,17,316,4.6,62,0.5,0.65,0.98,0.1,0,1,basic,0.827,2026-03-28
201,Marthe Ollivier-Schmitt,0671452111,Oujda,34.59815,-1.91126,Menuiserie,13,310,4.2,34,3.0,0.54,0.91,0.11,0,1,free,0.689,2024-11-15
202,Éléonore de Pereira,0744742123,Meknès,33.90439,-5.64591,Menuiserie,6,81,4.7,38,2.9,0.63,0.84,0.13,1,1,premium,0.751,2025-10-23
203,Luce Blin,0602205020,Marrakech,31.56828,-7.94662,Jardinage,20,232,2.9,20,1.2,0.54,0.73,0.15,1,1,basic,0.74,2026-04-12
204,Joseph Julien,0668147214,Fès,34.13412,-4.94609,Carrelage,25,248,4.8,23,2.2,0.76,0.91,0.09,1,1,free,0.771,2026-03-11
205,Alix Diallo,0699787729,Rabat,34.01737,-6.80081,Informatique,9,199,2.5,81,3.7,0.99,0.7,0.0,0,1,basic,0.622,2025-01-03
206,Corinne-Manon Gomez,0644885015,Meknès,33.87491,-5.58324,Nettoyage,1,254,4.3,54,1.5,0.78,0.99,0.12,1,0,basic,0.642,2026-04-24
207,Antoinette Petitjean,0760849588,Oujda,34.77668,-1.84713,Climatisation,21,89,2.0,39,0.7,0.84,0.94,0.13,1,0,free,0.77,2025-03-19
208,Laure Schmitt,0704617357,Casablanca,33.53832,-7.61677,Nettoyage,6,234,4.4,99,0.7,0.65,0.73,0.12,0,0,basic,0.833,2025-09-02
209,Jacques Moreau-Diaz,0682307681,Casablanca,33.63775,-7.50224,Menuiserie,24,82,2.2,123,1.1,0.52,0.95,0.13,1,0,premium,0.581,2024-09-18
210,Jacques Marchand,0714224109,Agadir,30.32455,-9.54221,Climatisation,7,343,4.6,82,0.3,0.77,0.86,0.04,0,0,free,0.646,2026-01-13
211,Théophile Klein-Lopez,0701662997,Marrakech,31.55842,-8.02188,Carrelage,5,262,3.4,12,1.1,0.91,0.91,0.1,1,0,free,0.641,2025-09-24
212,Henri Dupuis,0632945625,Fès,33.94528,-4.93463,Informatique,10,246,3.1,116,1.8,0.52,0.84,0.05,1,1,basic,0.749,2025-05-27
213,Martine de la Lemaître,0796393827,Fès,34.03502,-5.02039,Informatique,18,276,4.3,83,0.2,0.6,0.91,0.06,0,1,basic,0.905,2025-05-21
214,Laurent Samson-Faure,0724619196,Marrakech,31.55882,-7.94443,Informatique,4,247,4.8,124,2.0,0.83,0.73,0.12,0,0,basic,0.785,2026-03-18
215,Julien Le Roux,0749465190,Casablanca,33.62868,-7.55501,Jardinage,20,341,3.4,99,1.6,0.56,0.79,0.06,1,1,basic,0.767,2026-05-26
216,Manon Gomes,0627238656,Tanger,35.67511,-5.88109,Plomberie,21,158,2.3,100,1.0,0.94,0.74,0.0,0,1,free,0.598,2025-10-16
217,Richard Rodriguez-Imbert,0678687653,Meknès,33.9962,-5.62605,Menuiserie,15,175,3.7,106,1.7,0.5,0.85,0.11,0,1,premium,0.826,2025-12-16
218,Emmanuel Le Mathieu,0778189137,Tanger,35.65863,-5.93392,Jardinage,19,119,4.0,28,3.5,0.77,0.87,0.09,0,1,free,0.756,2024-06-16
219,Sylvie Carpentier,0694940792,Oujda,34.67676,-1.8236,Déménagement,12,106,4.1,107,3.2,0.65,0.92,0.0,1,1,elite,0.727,2024-08-22
220,Franck Becker,0675243728,Agadir,30.37419,-9.57306,Peinture,24,96,4.5,3,1.3,0.54,0.74,0.14,1,1,free,0.841,2025-08-01
221,Maurice Michel,0676747836,Meknès,33.83684,-5.56023,Climatisation,2,279,2.1,88,1.9,0.57,0.96,0.0,0,1,basic,0.505,2026-04-30
222,Timothée Ruiz,0741496739,Tanger,35.85934,-5.79446,Plomberie,14,179,1.8,90,2.2,0.84,1.0,0.05,1,1,basic,0.559,2024-08-13
223,Gabriel Pottier de la Tanguy,0609391119,Casablanca,33.55391,-7.58434,Climatisation,24,146,3.1,56,1.4,0.88,0.89,0.12,1,1,free,0.626,2024-12-10
224,Sébastien Léger,0742140665,Agadir,30.38338,-9.5634,Électricité,25,110,3.7,70,0.9,0.91,0.75,0.01,0,1,free,0.895,2025-07-12
225,Thibault Bourgeois,0601194707,Fès,34.06476,-5.08466,Nettoyage,20,156,4.2,55,3.2,0.5,0.71,0.06,1,1,basic,0.931,2025-07-10
226,Marcelle Perez,0667198554,Casablanca,33.57643,-7.49468,Jardinage,24,285,3.2,103,0.2,1.0,0.89,0.05,0,1,premium,0.842,2025-09-18
227,Élodie Delannoy,0771732030,Agadir,30.45976,-9.66802,Plomberie,10,202,4.9,48,2.0,0.53,0.86,0.05,1,0,basic,0.902,2025-09-08
228,Bernadette Delahaye,0693102707,Casablanca,33.473,-7.68579,Informatique,7,103,1.6,30,0.8,0.82,0.7,0.09,0,0,premium,0.615,2024-09-12
229,Arnaude Rodriguez,0665651982,Oujda,34.71075,-1.83889,Électricité,4,244,4.4,27,5.4,0.9,0.93,0.09,1,1,free,0.688,2024-10-27
230,Aurélie Riou-Martin,0607100219,Meknès,33.82173,-5.57542,Menuiserie,5,225,3.0,10,1.6,0.9,0.93,0.1,1,1,free,0.725,2025-11-22
231,Thibault Nguyen,0756083318,Oujda,34.66768,-1.81668,Déménagement,23,128,3.9,46,2.9,0.93,1.0,0.08,1,1,free,0.916,2025-01-04
232,Thibault Lecomte,0743645970,Agadir,30.33117,-9.68185,Menuiserie,16,133,3.9,121,4.0,0.96,0.75,0.12,1,1,free,0.724,2025-01-31
233,Frédérique Royer,0736317970,Oujda,34.70674,-1.94903,Maçonnerie,8,303,4.1,83,0.5,0.96,0.84,0.06,1,1,premium,0.626,2026-03-14
234,Cécile Albert de la Richard,0653492929,Tanger,35.86232,-5.89839,Menuiserie,9,197,1.6,15,0.3,0.93,0.85,0.15,1,0,free,0.657,2025-03-17
235,Raymond Joly,0660078068,Casablanca,33.62283,-7.53873,Maçonnerie,19,281,2.4,111,2.0,0.9,0.95,0.07,1,1,free,0.8,2024-06-17
236,Valérie Hebert,0677262570,Meknès,33.99078,-5.62671,Peinture,1,116,2.3,23,1.5,0.85,0.86,0.04,0,1,free,0.564,2026-02-22
237,Alex Gauthier,0665790552,Marrakech,31.6917,-8.0717,Carrelage,17,114,4.1,14,2.5,0.89,0.74,0.05,1,1,elite,0.866,2026-01-20
238,Adélaïde Lambert,0777881788,Marrakech,31.68424,-7.92469,Carrelage,17,229,2.7,68,1.8,0.68,0.9,0.1,0,0,basic,0.588,2024-12-14
239,Valérie Fernandes,0638046827,Oujda,34.59747,-1.93504,Menuiserie,4,257,2.5,19,1.6,0.87,0.71,0.03,1,0,free,0.452,2025-11-19
240,Tristan Bonnet-Moreno,0749242437,Tanger,35.74041,-5.86799,Climatisation,19,270,4.3,124,10.6,0.88,0.71,0.05,1,1,basic,0.873,2024-11-16
241,Stéphanie Lesage-Delahaye,0674523805,Agadir,30.3591,-9.66829,Informatique,6,256,3.9,39,0.5,0.72,0.99,0.08,1,1,free,0.554,2025-10-29
242,Nath Poulain,0697517028,Fès,34.13012,-4.9075,Menuiserie,11,139,1.5,129,1.1,0.7,0.95,0.07,1,1,basic,0.582,2026-03-23
243,Aimé Pelletier,0737599805,Marrakech,31.64754,-8.04118,Peinture,18,283,2.2,21,0.5,0.93,0.81,0.06,1,1,premium,0.741,2025-09-04
244,Alphonse Munoz,0729912347,Rabat,33.95943,-6.75775,Informatique,10,348,5.0,113,12.9,0.53,0.99,0.11,1,1,free,0.884,2025-03-11
245,Frédérique Wagner,0649478730,Meknès,33.82321,-5.55549,Déménagement,7,81,4.1,35,0.5,0.65,0.89,0.1,1,1,free,0.747,2025-03-26
246,Claire Chevalier du Girard,0797964715,Meknès,33.82418,-5.45934,Climatisation,25,342,2.4,30,4.0,0.51,0.78,0.09,1,1,free,0.697,2026-05-15
247,Alexandrie Guérin,0621928554,Fès,34.00246,-5.09667,Carrelage,2,218,3.0,91,3.5,0.84,0.73,0.09,0,1,free,0.654,2025-11-17
248,Maryse Bonneau,0667112075,Agadir,30.40034,-9.60137,Carrelage,4,239,4.7,41,3.5,0.57,0.83,0.15,1,0,free,0.785,2024-11-28
249,Françoise Lacombe,0661107603,Agadir,30.32591,-9.53008,Maçonnerie,23,135,2.0,36,0.1,0.83,0.88,0.07,0,1,free,0.539,2025-04-09
250,Sébastien Payet,0795528938,Casablanca,33.62814,-7.52875,Déménagement,6,114,2.2,51,0.3,0.79,0.7,0.03,1,1,basic,0.433,2025-12-07
251,Susanne Chartier,0625663836,Casablanca,33.6755,-7.67657,Maçonnerie,12,137,4.7,121,4.3,0.66,0.84,0.08,1,1,basic,0.797,2025-03-27
252,Alice Gilbert,0763175207,Casablanca,33.48278,-7.59116,Serrurerie,22,133,2.5,79,1.5,0.76,0.9,0.02,1,1,elite,0.742,2024-09-17
253,Alexandre Leblanc,0765796784,Fès,33.93918,-4.89725,Carrelage,4,155,2.2,103,4.4,0.55,0.78,0.07,0,1,free,0.598,2024-09-14
254,Charlotte Dupré,0618773477,Casablanca,33.64452,-7.5902,Plomberie,20,338,4.9,97,0.9,0.67,0.96,0.08,0,1,basic,0.866,2025-08-19
255,Aurélie Andre du Delmas,0676246719,Rabat,33.99574,-6.8817,Serrurerie,2,331,3.0,9,3.2,0.84,0.87,0.07,0,1,free,0.674,2025-07-10
256,Charles Pelletier,0759056165,Agadir,30.42665,-9.49629,Déménagement,11,262,3.9,72,1.6,0.53,0.77,0.04,1,1,free,0.674,2026-05-10
257,Stéphanie-Chantal Grondin,0740790569,Rabat,34.10067,-6.92496,Menuiserie,2,279,1.6,83,1.2,0.55,0.85,0.1,1,1,free,0.607,2026-04-19
258,Alexandrie Maury,0739191954,Tanger,35.68742,-5.87735,Serrurerie,18,114,2.2,19,2.5,0.77,0.83,0.05,1,0,free,0.559,2025-11-03
259,Adrien Dumont-Payet,0682973748,Agadir,30.41329,-9.58946,Maçonnerie,20,302,3.0,64,8.2,0.86,0.72,0.03,1,1,basic,0.811,2026-05-07
260,Agnès Julien,0663123034,Agadir,30.5022,-9.6175,Électricité,9,317,3.7,105,2.0,1.0,0.83,0.14,1,1,premium,0.653,2024-07-04
261,Bernadette Marques,0659416516,Agadir,30.49043,-9.64615,Nettoyage,24,151,2.1,10,0.8,0.79,0.85,0.02,0,1,free,0.65,2025-11-24
262,Bernadette Perrot,0663212347,Agadir,30.42703,-9.68669,Déménagement,11,289,1.9,80,0.9,0.79,0.85,0.06,0,1,premium,0.676,2025-08-12
263,Tristan Brunel,0634864518,Oujda,34.72621,-1.81122,Menuiserie,10,201,2.8,94,5.8,0.69,0.97,0.06,0,1,free,0.766,2024-09-05
264,Chantal Salmon,0677656124,Marrakech,31.5857,-7.90339,Menuiserie,25,339,4.7,81,0.2,0.71,0.92,0.08,1,1,basic,0.827,2024-07-28
265,Jacqueline-Bernadette Blanchard,0682965772,Fès,34.06144,-4.93708,Menuiserie,21,213,1.5,51,0.6,0.8,0.8,0.04,1,1,free,0.571,2025-07-12
266,Gilles Laroche,0734206969,Meknès,33.98966,-5.4642,Maçonnerie,18,213,1.6,5,0.5,0.98,0.75,0.09,1,1,basic,0.691,2025-09-12
267,Michel De Oliveira-Schmitt,0693436262,Oujda,34.60422,-1.86522,Maçonnerie,10,94,4.8,68,1.0,0.63,0.89,0.14,1,1,basic,0.818,2025-09-17
268,Alice Baudry de la Lacombe,0711800537,Rabat,33.91502,-6.92091,Carrelage,22,261,4.9,101,17.2,0.97,0.99,0.09,0,1,free,0.901,2025-02-19
269,Michel Maury,0772158624,Meknès,33.8508,-5.57007,Carrelage,19,139,2.0,10,1.1,0.99,0.85,0.15,1,1,free,0.658,2025-08-19
270,Thérèse-Lucy Garcia,0687032032,Agadir,30.51489,-9.6493,Peinture,6,98,3.3,111,1.9,0.58,0.84,0.02,0,1,free,0.775,2025-08-31
271,Lucy Voisin de Gaillard,0684993908,Tanger,35.86519,-5.82084,Jardinage,4,172,3.2,37,1.6,0.54,0.93,0.1,0,1,free,0.515,2026-05-03
272,Jules Le Gall,0749050975,Rabat,33.99802,-6.82207,Électricité,1,146,4.4,39,0.7,0.52,0.89,0.05,1,1,free,0.79,2026-02-11
273,Théophile Lacroix,0742147649,Meknès,33.8054,-5.60024,Maçonnerie,3,147,4.9,102,1.3,0.55,0.81,0.03,1,1,free,0.627,2025-03-06
274,Michelle Ramos du Adam,0732788147,Meknès,33.8049,-5.56405,Carrelage,21,303,3.6,111,0.2,0.9,0.79,0.15,0,1,free,0.638,2025-02-14
275,Brigitte Legrand,0754918017,Meknès,33.84928,-5.64509,Électricité,17,171,4.7,27,4.6,0.92,0.71,0.06,0,1,free,0.821,2025-09-13
276,Jacques de Fischer,0780061027,Oujda,34.71347,-1.96219,Menuiserie,24,315,2.2,20,3.5,0.93,0.99,0.09,1,1,elite,0.693,2026-02-26
277,Antoinette Lévêque,0630372368,Tanger,35.80072,-5.73386,Climatisation,3,177,2.9,77,0.3,0.88,0.74,0.06,1,0,free,0.458,2026-05-25
278,Yves de Martel,0616679984,Oujda,34.787,-1.91756,Jardinage,10,98,3.5,51,2.0,0.74,0.88,0.09,0,0,basic,0.675,2025-10-17
279,Raymond Lesage,0795760243,Marrakech,31.67583,-7.97498,Serrurerie,9,320,3.5,16,1.3,0.62,0.77,0.14,1,1,premium,0.725,2026-04-08
280,Emmanuel Vallet,0693417223,Oujda,34.60695,-1.95607,Informatique,22,160,2.9,106,2.8,0.55,0.82,0.15,1,1,basic,0.757,2024-07-23
281,Thibault Coulon,0618374550,Casablanca,33.54257,-7.64152,Climatisation,2,216,2.1,128,6.8,0.93,0.96,0.09,1,1,premium,0.443,2025-08-27
282,Suzanne du Marion,0652478712,Oujda,34.78673,-1.8561,Électricité,18,266,4.2,26,1.2,0.57,0.95,0.07,1,1,free,0.795,2025-02-11
283,Laurence Allard,0732666785,Oujda,34.65239,-1.91031,Électricité,12,95,2.4,106,1.8,0.89,0.92,0.08,1,1,basic,0.645,2025-07-21
284,Catherine Dufour,0766845504,Fès,34.01905,-5.02308,Plomberie,19,350,3.8,38,2.8,0.57,0.82,0.1,0,1,free,0.853,2026-02-28
285,Valentine Monnier,0688431884,Oujda,34.7294,-1.82758,Climatisation,10,346,2.9,50,1.2,0.82,0.71,0.13,1,1,free,0.589,2025-04-12
286,Bertrand Arnaud,0674907539,Meknès,33.99879,-5.63153,Plomberie,21,199,4.4,66,1.3,0.64,0.94,0.11,0,1,basic,0.827,2025-11-19
287,Tristan Langlois,0610627371,Marrakech,31.54414,-7.97754,Maçonnerie,15,269,4.4,92,3.4,0.7,0.87,0.12,0,1,free,0.877,2026-03-18
288,Gilbert Henry-Turpin,0688137702,Meknès,34.00085,-5.50643,Jardinage,6,269,4.1,106,7.6,0.56,0.96,0.02,1,1,free,0.701,2025-11-22
289,Alfred Launay,0644327018,Fès,33.95065,-5.04218,Carrelage,1,258,2.6,124,0.2,0.52,0.84,0.05,1,1,premium,0.561,2025-06-26
290,Édouard Le Berger,0719966365,Oujda,34.75902,-1.83925,Menuiserie,21,103,4.2,129,9.5,0.95,0.92,0.1,0,1,free,0.861,2026-01-11
291,Émile-Thibaut Techer,0618204339,Agadir,30.441,-9.67944,Nettoyage,19,307,1.8,13,0.3,0.77,0.8,0.09,1,0,basic,0.731,2025-05-19
292,Michèle Dos Santos,0624124620,Meknès,33.82442,-5.65021,Nettoyage,3,246,2.6,65,0.6,0.86,0.79,0.01,1,0,free,0.449,2025-02-24
293,Christophe Lagarde,0705786170,Meknès,33.98898,-5.46092,Plomberie,16,288,2.2,60,3.0,0.96,0.71,0.08,1,1,basic,0.7,2025-12-25
294,Georges Colin,0638687007,Fès,33.99105,-5.02016,Électricité,7,228,4.5,128,3.2,0.58,0.72,0.14,1,1,premium,0.739,2026-05-02
295,Aimé Fontaine de la Clément,0716128463,Meknès,34.00144,-5.47326,Maçonnerie,10,338,3.5,130,9.5,0.66,0.9,0.05,1,1,free,0.781,2025-09-11
296,Éléonore Barbe-Lebreton,0700268768,Agadir,30.37287,-9.49366,Carrelage,1,121,2.2,84,4.6,0.82,0.72,0.0,0,1,elite,0.532,2026-04-24
297,Michel Gay,0737030453,Rabat,33.98912,-6.77397,Déménagement,25,126,2.8,45,5.1,0.81,0.94,0.03,0,0,premium,0.724,2024-07-12
298,Victoire Bodin,0728399921,Agadir,30.42625,-9.55398,Déménagement,21,145,2.2,50,4.1,0.56,0.98,0.13,0,1,free,0.784,2025-03-12
299,Martine Dupuis,0656641877,Marrakech,31.70467,-8.08421,Informatique,22,265,3.9,64,2.2,0.52,0.92,0.01,0,1,basic,0.841,2025-04-24
300,Bertrand Lévy,0654110760,Casablanca,33.54972,-7.62554,Déménagement,23,251,4.3,57,5.5,0.62,0.84,0.14,0,0,free,0.692,2025-11-19
