id,name,phone,city,latitude,longitude,created_at
343,Gérard Le Laurent,0622161070,Rabat,33.92105,-6.94347,2025-04-21
344,Auguste Philippe-Faivre,0690552958,Rabat,34.09828,-6.88971,2024-06-18
345,Joseph Pinto,0613824127,Meknès,33.87542,-5.51104,2024-07-19
346,Claire de la Laurent,0720448515,Agadir,30.45127,-9.5573,2025-09-24
347,Christophe Robert,0612125902,Rabat,34.03521,-6.8496,2024-06-14
348,Thibaut Guérin,0643240642,Marrakech,31.65933,-7.98967,2025-03-16
349,Nicolas Mercier,0643244741,Fès,34.04736,-5.0186,2025-10-18
350,Julie Thierry,0720962893,Tanger,35.77652,-5.86668,2026-05-24
351,Philippe Dumas,0735884183,Meknès,33.8604,-5.48008,2025-02-23
352,Thomas Roger-Leleu,0682727955,Marrakech,31.62251,-8.08241,2026-01-02
353,Victor Laurent,0715026755,Meknès,33.92773,-5.46054,2026-03-29
354,Gilbert Auger-Bernard,0678207979,Rabat,33.95325,-6.8723,2026-01-14
355,Alexandrie Lebrun Le Da Costa,0645957640,Meknès,33.94344,-5.55301,2025-01-29
356,Patrick-Éric Coulon,0790282498,Rabat,34.00382,-6.78234,2024-12-24
357,Daniel Marchal,0614257627,Fès,33.95328,-5.03608,2024-06-04
358,Vincent Renaud,0712336132,Fès,33.96852,-5.0709,2026-05-06
359,Hugues Leclerc,0678637673,Tanger,35.65246,-5.90766,2024-09-10
360,Inès Bonnin,0665469681,Meknès,33.81318,-5.49043,2025-05-25
361,Jacques Picard,0639235558,Oujda,34.72343,-1.80973,2024-06-05
362,Louise Chauvin,0673034615,Meknès,33.98314,-5.51582,2025-07-02
363,Thierry Martin Le Labbé,0770462268,Fès,34.01724,-5.04649,2024-09-20
364,Luce Meunier,0660252986,Oujda,34.75291,-1.94464,2026-05-07
365,Eugène Meunier de la Descamps,0760464197,Oujda,34.5811,-1.87814,2025-10-31
366,Suzanne Barbier,0712686120,Tanger,35.82026,-5.78816,2025-05-15
367,Anaïs du Fernandes,0760740177,Agadir,30.36242,-9.53046,2025-06-14
368,Guillaume Grégoire,0765408424,Casablanca,33.65724,-7.5495,2025-06-04
369,Claude Lamy,0691508632,Meknès,33.78918,-5.58522,2024-08-29
370,Aurore Bourdon,0764579389,Rabat,33.94005,-6.91843,2025-09-16
371,Olivie de la Barthelemy,0691681546,Casablanca,33.48154,-7.6173,2025-07-19
372,Maryse-Susanne Weiss,0661394498,Casablanca,33.50476,-7.53644,2025-12-08
373,Nathalie Berthelot,0736424809,Marrakech,31.6715,-8.07865,2025-07-17
374,Georges Thomas du Clerc,0730624479,Fès,34.07183,-5.04915,2026-03-16
375,Maggie Gros-Neveu,0731949796,Tanger,35.6724,-5.8935,2026-03-16
376,Agnès Berthelot,0655557277,Tanger,35.76846,-5.83928,2025-01-05
377,Denis de Boyer,0691785138,Fès,34.0707,-5.05282,2025-06-17
378,William de la Maury,0702992959,Agadir,30.38279,-9.63803,2025-08-19
379,Marcelle-Amélie Lacombe,0787368269,Meknès,34.00071,-5.65035,2024-10-08
380,Christine Berger,0694226865,Rabat,33.99836,-6.90402,2025-01-12
381,Cécile Lacombe,0715888636,Meknès,33.98009,-5.59511,2025-10-23
382,Théophile Dupré,0626408572,Oujda,34.64049,-1.81961,2026-05-04
383,Stéphane Moreau,0763093299,Rabat,33.99568,-6.8085,2025-11-01
384,Astrid-Nath Regnier,0659329715,Rabat,34.04243,-6.79141,2024-06-27
385,Thibault Lebon,0675327352,Meknès,33.90476,-5.46872,2025-03-31
386,Alice Berger,0773973278,Rabat,34.10619,-6.90495,2026-03-22
387,Édith Bouchet-Vidal,0637100687,Rabat,34.08656,-6.76855,2025-07-03
388,Marc Philippe,0698077046,Rabat,34.0821,-6.74266,2024-07-14
389,Pierre Fleury,0761124912,Tanger,35.73776,-5.74159,2025-06-14
390,Alphonse Lesage du Picard,0673415177,Meknès,33.92735,-5.62472,2025-02-09
391,Claude Boutin,0774949022,Agadir,30.39373,-9.55719,2025-11-20
392,Nathalie Jean-Lebreton,0744294774,Agadir,30.3253,-9.5159,2024-11-09
393,Benoît Pierre de Le Roux,0743039429,Fès,33.95687,-5.0449,2024-06-16
394,Maurice-Gérard Weiss,0779252985,Agadir,30.39843,-9.59624,2025-11-21
395,Luce de la Chartier,0687276015,Tanger,35.73312,-5.74187,2025-01-20
396,Bernard Gaudin,0635779083,Agadir,30.36433,-9.67376,2024-12-28
397,Lucie Salmon de Guilbert,0658148881,Tanger,35.79501,-5.85595,2024-07-31
398,Auguste Pasquier,0723372094,Oujda,34.70112,-1.96589,2025-12-21
399,Audrey Cohen,0628403339,Agadir,30.33945,-9.66512,2026-01-20
400,Gabrielle Bègue de Laporte,0651371717,Oujda,34.67897,-1.90341,2024-12-23
